Season,records,mean_yield_t_ha,mean_production_t,mean_revenue_inr,mean_cost_inr,mean_profit_inr,mean_water_efficiency,mean_water_used_m3,mean_disease_pest_risk_pct
Kharif,40,2.5260000000000002,11.15225,584175.175,154637.625,429537.55,7.6459,2777.6375,36.5925
Rabi,43,2.602790697674419,10.156046511627906,526592.5348837209,208535.32558139536,318057.20930232556,8.159976744186046,2334.141860465116,40.05813953488372
Zaid,37,2.257837837837838,10.505675675675676,630515.8378378379,191362.62162162163,439153.2162162162,9.411891891891893,2188.3675675675677,43.0918918918919
